title,authors,book_description,meta_all
ESCUELA DE DANZA. 5: EL RETRATO MISTERIOSO,Aurora Marsotto,,Editorial: LA GALERA Año de edición: 2010 Materia: Narrativa de 8 a 10 años ISBN: 978-84-246-3399-8 Páginas: 160 Encuadernación: Rústica Colección: Escuela de Danza Idioma: Español
ESCUELA DE DANZA. 7: PASIÓN POR EL MUSICAL,Aurora Marsotto,,Editorial: LA GALERA Año de edición: 2010 Materia: Narrativa de 8 a 10 años ISBN: 978-84-246-3134-5 Páginas: 154 Encuadernación: Rústica Colección: Escuela de Danza Idioma: Español
ESCUELA (PAGINITAS),Equipo Editorial,,"Editorial: LIBSA Año de edición: 2014 Materia: Aprendizaje temprano, juegos y actividades ISBN: 978-84-662-2887-9 Páginas: 30 Encuadernación: Espiral Idioma: Español"
ESCUELA DE DRAGONES. DESAFIANDO LA TORMENTA,Salamanda Drake,,Editorial: ALFAGUARA Año de edición: 2010 Materia: Narrativa de 10 a 12 años ISBN: 978-84-204-7452-6 Páginas: 46 Encuadernación: Rústica Idioma: Español Temas: Convivencia y relaciones sociales Valores: Amistad
ESCUCHO Y APRENDO INGLES CON LOS LOONEY TUNES,Equipo Editorial,,Editorial: LIBSA Año de edición: 2010 Materia: Idiomas infantil y juvenil ISBN: 978-84-662-2205-1 Páginas: 22 Encuadernación: Cartoné Colección: Looney Tunes Idioma: Español
ESCUELA DE DANZA. 6: ¡TODOS AL CONCURSO!,Aurora Marsotto,,Editorial: LA GALERA Año de edición: 2010 Materia: Narrativa de 8 a 10 años ISBN: 978-84-246-3438-4 Páginas: 160 Encuadernación: Rústica Colección: Escuela de Danza Idioma: Español
ESCUELA DE CAZADRAGONES 5 Y 6,K.H. Mcmullan,,Editorial: MONTENA Año de edición: 2014 Materia: Narrativa de 8 a 10 años ISBN: 978-84-9043-291-4 Páginas: 224 Encuadernación: Rústica Colección: Escuela Cazadragones Idioma: Español
ESCUELA DE CABALLEROS. UNA SORPRESA PARA RUBÍ. PIRATAS EN EL MAR. UNA FIESTA PARA BELLA,Equipo Editorial,,Editorial: SUSAETA Año de edición: 2014 Materia: Narrativa de 3 a 6 años ISBN: 978-84-677-3160-6 Páginas: 10 Encuadernación: Cartoné Idioma: Español
ESCUDO DE RUNAS. LEYENDA DE CAMELOT III,"[""Wolfgang Hohlbein"", ""Heike Hohlbein""]",,"Editorial: PEARSON Año de edición: 2008 Materia: Narrativa de 12 a 14 años ISBN: 978-84-205-5198-2 Páginas: 384 Encuadernación: Cartoné Colección: La Leyenda de Camelot, 1 Idioma: Español"
ESCUELA DE EQUITACIÓN,Moira Butterfield,,Editorial: COLUMNA Año de edición: 2010 Materia: Narrativa de 3 a 6 años ISBN: 978-84-9913-042-2 Páginas: 16 Encuadernación: Cartoné Idioma: Español
ESCUELA DE CACHORRITOS. YO SI PUEDO,Ana Galán,,Editorial: LATINBOOKS Año de edición: 2013 Materia: Narrativa de 8 a 10 años ISBN: 978-987-1208-49-4 Páginas: 32 Idioma: Español
ESCUCHARÁS MI CORAZÓN,Alessio Puleo,,Editorial: MONTENA Año de edición: 2013 Materia: Narrativa de 14 a 16 años ISBN: 978-84-9043-035-4 Páginas: 368 Encuadernación: Rústica Idioma: Español
N/A,,,
N/A,,,
ESCUELA DE PINTURA,Christina Thran,,Editorial: ACANTO Año de edición: 2009 Materia: Juegos y actividades de 10 a 12 años ISBN: 978-84-95376-92-3 Páginas: 45 Encuadernación: Cartoné Idioma: Español
ESCUELA DE FÚTBOL. 1: FORMAMOS UN EQUIPO,Tom Palmer,,Editorial: MEDIALIVE Año de edición: 2012 Materia: Narrativa de 8 a 10 años ISBN: 978-84-15239-91-8 Páginas: 148 Encuadernación: Troquelado Colección: Medialive Idioma: Español
ESCUELA DE FÚTBOL. 2: EMPIEZA EL JUEGO,Tom Palmer,,Editorial: MEDIALIVE Año de edición: 2012 Materia: De 8 a 10 años ISBN: 978-84-15239-92-5 Páginas: 120 Encuadernación: Troquelado Colección: Medialive Idioma: Español
ESCUELA DE VUELO,Nick Barnard,,Editorial: BLUME Año de edición: 2013 Materia: Juegos y actividades de 8 a 10 años ISBN: 978-84-9801-683-3 Páginas: 48 Encuadernación: Cartoné Idioma: Español
ESMERALDA RUMBO AL HORIZONTE,Sara Rojo,,Editorial: MACMILLAN Año de edición: 2011 Materia: Narrativa de 6 a 8 años ISBN: 978-84-7942-842-6 Páginas: 64 Encuadernación: Cartoné Colección: Infantil y Juvenil (+de 6 Años) Idioma: Español
ESE NO ES MI ZOO,,,Editorial: BRUÑO Año de edición: 2006 Materia: Narrativa de 6 a 8 años ISBN: 978-84-216-9382-7 Páginas: 128 Encuadernación: Rústica Idioma: Español
ESCUELA DE MAGIA,Michael Ende,,Editorial: EVEREST Año de edición: 2009 Materia: Narrativa de 8 a 10 años ISBN: 978-84-441-4231-9 Páginas: 96 Encuadernación: Rústica Colección: Leer Es Vivir Verde Idioma: Español
ESPECTÁCULO DE MAGIA,Varios Autores,,Editorial: PARRAGON Año de edición: 2014 Materia: Juegos y actividades de 8 a 10 años ISBN: 978-1-4723-8157-6 Idioma: Español
ESCUELA DE SUPERHÉROES,Gabriel García de Oro,,Editorial: ANAYA Año de edición: 2006 Materia: Narrativa de 10 a 12 años ISBN: 978-84-667-5379-1 Páginas: 83 Encuadernación: Rústica Colección: El Duende Verde Idioma: Español
N/A,,,
ESCUELA DE PRINCESAS III. SUÉLTATE EL PELO,"[""Jane B Mason"", ""Sarah H. Stephens""]",,Editorial: EDICIONES B Año de edición: 2006 Materia: Narrativa de 10 a 12 años ISBN: 978-84-666-2727-6 Páginas: 144 Encuadernación: Rústica Colección: La Escritura Desatada Idioma: Español
ESCUELAS DEL MUNDO,Clémentine Sourdais,,Editorial: SM Año de edición: 2012 Materia: Divulgación y aprendizaje de 3 a 6 años ISBN: 978-84-675-5658-2 Páginas: 12 Encuadernación: Cartoné Idioma: Español
ESPACIO,,,Editorial: SM Año de edición: 2008 Materia: Divulgación de 10 a 12 años ISBN: 978-84-675-2962-3 Páginas: 128 Encuadernación: Cartoné Idioma: Español
"ESPACIO. COLECCIÓN MIRA, MIRA",Varios Autores,,Editorial: PEARSON Año de edición: 2008 Materia: De 6 a 8 años ISBN: 978-84-205-5412-9 Páginas: 22 Encuadernación: Cartoné Colección: Grandes de Alhambra Idioma: Español
EST.AGENDA HADAS Y PRINCESAS,,,Editorial: SUSAETA Año de edición: 2009 Materia: De 6 a 8 años ISBN: 978-84-305-2560-7 Páginas: 160 Encuadernación: Rústica Colección: Creacion En Traspasos Idioma: Español
EST.MINI ACTIVIDADES PEGATINAS,,,Editorial: SUSAETA Año de edición: 2009 Materia: Juegos y actividades de 3 a 6 años ISBN: 978-84-305-2551-5 Páginas: 12 Encuadernación: Rústica Colección: Pegatinas Doradas y Plateadas Idioma: Español
N/A,,,
ESCUELA DE VAMPIROS. UN VIAJE ESCALOFRIANTE,Peter Bentley,,Editorial: MOLINO Año de edición: 2012 Materia: Narrativa de 6 a 8 años ISBN: 978-84-272-0324-2 Páginas: 96 Encuadernación: Rústica Idioma: Español Temas: Aventuras. Humor Valores: Compañerismo. Valentía
ESCUELA DE HADAS. ¡CONSTRUYE Y JUEGA !,Mel Plehov,,Editorial: BRUÑO Año de edición: 2013 Materia: Juegos y actividades de 6 a 8 años ISBN: 978-84-216-7819-0 Páginas: 20 Encuadernación: Cartoné Idioma: Español
ESCUELA DE PRINCESAS,Varios Autores,,Editorial: BEASCOA Año de edición: 2012 Materia: Juegos y actividades de 6 a 8 años ISBN: 978-84-488-3585-9 Páginas: 24 Encuadernación: Rústica Colección: S/c Idioma: Español
ESMERALDA,Kerstin Gier,,Editorial: MONTENA Año de edición: 2011 Materia: Narrativa de 14 a 16 años ISBN: 978-84-8441-753-8 Páginas: 496 Encuadernación: Cartoné Colección: Ellas Idioma: Español Temas: Fantasía. Intriga Valores: Amor. Valentía
ESCUELA DE VAMPIROS. UNA PANDILLA MONSTRUOSA,Peter Bentley,,Editorial: Molino Año de edición: 2012 Materia: Narrativa de 6 a 8 años ISBN: 978-84-272-0315-0 Páginas: 96 Encuadernación: Rústica Idioma: Español Temas: Fantasía. Humor Valores: Convivencia. Justicia
"ESPACIO AL DEDILLO, AL.(LIBRO TACTO)",,,Editorial: COMBEL Año de edición: 2010 Materia: Juegos y actividades de 3 a 6 años ISBN: 978-84-9825-544-7 Páginas: 14 Encuadernación: Cartoné Idioma: Español
ESCUELA DE MAGIA,Disney,,Editorial: MONTENA Año de edición: 2010 Materia: Narrativa de 10 a 12 años ISBN: 978-84-8441-605-0 Páginas: 128 Encuadernación: Rústica Colección: Los Magos de Waverly Place Idioma: Español
ESCUELA DE VAMPIROS. 4: UNA PROFESORA ESPELUZNANTE,Peter Bently,,Editorial: MOLINO Año de edición: 2013 Materia: Narrativa de 6 a 8 años ISBN: 978-84-272-0421-8 Páginas: 96 Encuadernación: Rústica Idioma: Español
N/A,,,
ESCUELA DE FRIKIS. EL EXAMEN FINAL,Gitty Daneshvari,,Editorial: MONTENA Año de edición: 2011 Materia: Narrativa de 10 a 12 años ISBN: 978-84-8441-829-0 Páginas: 320 Encuadernación: Cartoné Colección: Infinita Idioma: Español Temas: Aventuras. Convivencia y relaciones sociales Valores: Amistad. Humor
N/A,,,
ESTAS NO SON MIS... VACACIONES,,,Editorial: USBORNE Año de edición: 2012 Materia: Juegos y actividades de 3 a 6 años ISBN: 978-1-4095-4436-4 Páginas: 20 Encuadernación: Rústica Idioma: Español
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
ESPAÑA. UNA GRAN HISTORIA PARA LOS MAS PEQUEÑOS,"[""Pablo Fernández Blanco"", ""Ernst-Christoph Schkopp"", ""Fernando Stampa García-Ormaechea""]",,Editorial: CIUDADELA Año de edición: 2010 Materia: Divulgación de 8 a 10 años ISBN: 978-84-96836-68-6 Páginas: 48 Encuadernación: Cartoné Colección: Ensayo Idioma: Español
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
ESTE CUERPO ES HUMANO ANATOMÍA ESCRITA Y DIBUJADA,Grassa Toro,,"Editorial: THULE EDICIONES, S.L. Año de edición: 2009 Materia: De 12 a 14 años ISBN: 978-84-92595-01-3 Páginas: 40 Encuadernación: Cartoné Idioma: Español"
ESTA OSCURO TENGO MIEDO,Martí Ribas I Durán,,Editorial: LA GALERA Año de edición: 2009 Materia: Narrativa de 6 a 8 años ISBN: 978-84-246-3117-8 Páginas: 32 Encuadernación: Cartoné Colección: Dulces Sueños Idioma: Español
ESPLENDOR,Anna Godbersen,,Editorial: MONTENA Año de edición: 2012 Materia: Narrativa de 16 a 18 años ISBN: 978-84-8441-946-4 Páginas: 368 Encuadernación: Rústica Colección: Ellas Idioma: Español
ESTE CONEJO PERTENECE A EMILIY BROWN,Cressida Cowell,,Editorial: BEASCOA Año de edición: 2008 Materia: Narrativa de 3 a 6 años ISBN: 978-84-488-2627-7 Páginas: 29 Encuadernación: Cartoné Colección: Ya Se Leer Idioma: Español
ESTE ALCE ES MIO,Oliver Jeffers,,Editorial: FONDO DE CULTURA ECONÓMICA Año de edición: 2013 Materia: Álbum ilustrado ISBN: 978-607-16-1140-6 Páginas: 16 Encuadernación: Cartoné Idioma: Español
ESTE NO ES MI ...GRAN LIBRO DE COLOREAR,,,Editorial: USBORNE Año de edición: 2011 Materia: Juegos y actividades de 6 a 8 años ISBN: 978-1-4095-4445-6 Páginas: 96 Encuadernación: Rústica Idioma: Español
ÉSTE NO ES MI OSO,,,Editorial: USBORNE Año de edición: 2007 Materia: Para leer a los niños ISBN: 978-0-7460-8350-5 Encuadernación: Cartoné Idioma: Español
ESTHER Y EL MUNDO DE PURITA CAMPOS,,,Editorial: GLENAT Año de edición: 2006 Materia: De 12 a 14 años ISBN: 978-84-8449-939-8 Páginas: 80 Encuadernación: Cartoné Idioma: Español
ESTE ES MI TRACTOR,Varios Autores,,"Editorial: USBORNE Año de edición: 2010 Materia: Para leer a los niños ISBN: 978-1-4095-0379-8 Páginas: 10 Colección: ¡toca, Toca! Idioma: Español"
N/A,,,
ESTE SUEÑO NO ES MÍO,,,Editorial: PLANETA Año de edición: 2008 Materia: Narrativa de 3 a 6 años ISBN: 978-84-08-07451-9 Páginas: 20 Encuadernación: Cartoné Idioma: Español
ESTEGOSAURIO,,,Editorial: EDELVIVES Año de edición: 2010 Materia: Narrativa de 3 a 6 años ISBN: 978-84-263-7473-8 Colección: Mis Dinosaurios Favoritos Idioma: Español
ESTE SOL DE LA INFANCIA,Varios Autores,,Editorial: DIPUTACIÓN P. DE CIUDAD REAL Año de edición: 2014 Materia: Narrativa de 3 a 6 años ISBN: 978-84-7789-300-4 Páginas: 49 Idioma: Español
ESTE NO ES MI BURRO,Varios Autores,,"Editorial: USBORNE Año de edición: 2010 Materia: De 3 a 6 años ISBN: 978-1-4095-3017-6 Páginas: 10 Colección: ¡toca, Toca! Idioma: Español"
ESTE LIBRO ES PARA TI,,,Editorial: TRAMUNTANA Año de edición: 2012 Materia: Álbum ilustrado ISBN: 978-84-939157-2-8 Páginas: 32 Encuadernación: Cartoné Idioma: Español
ESTE LIBRO ES DE MI ABUELO,Varios Autores,,Editorial: COMBEL Año de edición: 2014 Materia: Juegos y actividades de 3 a 6 años ISBN: 978-84-9825-895-0 Páginas: 36 Encuadernación: Cartoné Idioma: Español
ESTE NO ES MI DRAGON,,,"Editorial: USBORNE Año de edición: 2011 Materia: De 3 a 6 años ISBN: 978-1-4095-2813-5 Colección: ¡toca, Toca! Idioma: Español"
ESTE NO ES MI ZOO,,,Editorial: USBORNE Año de edición: 2012 Materia: Juegos y actividades de 3 a 6 años ISBN: 978-1-4095-4430-2 Páginas: 24 Encuadernación: Grapado Idioma: Español
ESTE NO ES MI BEBE NIÑO,Varios Autores,,"Editorial: USBORNE Año de edición: 2010 Materia: Para leer a los niños ISBN: 978-1-4095-1614-9 Páginas: 10 Encuadernación: Cartoné Colección: ¡toca, Toca! Idioma: Español"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
ESTIRPE SALVAJE,Montse de Paz,,Editorial: ESPASA Año de edición: 2008 Materia: Narrativa de 14 a 16 años ISBN: 978-84-670-2913-0 Páginas: 414 Encuadernación: Cartoné Idioma: Español
"ESTRELLITA, ESTRELLITA, ¿DONDE ESTAS?",,,Editorial: PARRAGON Año de edición: 2011 Materia: De 3 a 6 años ISBN: 978-1-4454-5064-3 Idioma: Español
ESTOY OCUPADO,Varios Autores,,Editorial: PARRAGON Año de edición: 2013 Materia: Para leer a los niños ISBN: 978-1-4723-0986-0 Idioma: Español
ESTRELLAS Y PLANETAS. LA LLAVE DEL SABER,Varios Autores,,Editorial: ALTEA Año de edición: 2007 Materia: Divulgación de 14 a 16 años ISBN: 978-84-372-2455-8 Páginas: 64 Encuadernación: Cartoné Idioma: Español
ESTUCHE FABULAS ILUSTRADAS,Varios Autores,,Editorial: SUSAETA Año de edición: 2013 Materia: Narrativa de 6 a 8 años ISBN: 978-84-677-2580-3 Páginas: 32 Encuadernación: Rústica Idioma: Español
ESTRELLITA ESTRELLITA,Varios Autores,,Editorial: PANINI Año de edición: 2013 Materia: Narrativa de 3 a 6 años ISBN: 978-88-7703-264-5 Páginas: 6 Idioma: Español
"ESTRELLA DE MAR,LA",,,Editorial: SUSAETA Año de edición: 2011 Materia: Para leer a los niños ISBN: 978-84-677-0852-3 Páginas: 8 Colección: Baño de Colores Idioma: Español
ESTRELLAS. ENTRE NEBULOSAS Y AGUJEROS NEGROS,,,Editorial: ONIRO Año de edición: 2011 Materia: Divulgación de 10 a 12 años ISBN: 978-84-9754-538-9 Páginas: 64 Encuadernación: Cartoné Colección: Infinity Idioma: Español
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
ESTUCHE LA NOVENA NOCHE,Lesley Livingston,,Editorial: ***CERRADA*** VICEVERSA EDITORIAL Año de edición: 2011 Materia: Narrativa de 14 a 16 años ISBN: 978-84-92819-86-7 Páginas: 1016 Colección: Viceversa Juvenil Idioma: Español
ESTRELLAS DEL ROCK,Equipo Editorial,,Editorial: SUSAETA Año de edición: 2014 Materia: Juegos y actividades de 3 a 6 años ISBN: 978-84-677-2982-5 Páginas: 32 Encuadernación: Espiral Colección: Plantillas Magicas Idioma: Español
"ESTRELLETA, ESTRELLETA",Equipo Editorial,,Editorial: PANINI Año de edición: 2013 Materia: Narrativa de 3 a 6 años ISBN: 978-88-7703-265-2 Encuadernación: Plástico Idioma: Español
ESTRELLAS DEL FUTBOL - ESCENAS CON STICKERS,Equipo Editorial,,Editorial: PARRAGON Año de edición: 2014 Materia: Juegos y actividades de 6 a 8 años ISBN: 978-1-4723-6032-8 Páginas: 12 Idioma: Español
N/A,,,
EXCAVADORA,Varios Autores,,Editorial: SUSAETA Año de edición: 2009 Materia: De 6 a 8 años ISBN: 978-84-305-7040-9 Páginas: 12 Encuadernación: Cartoné Colección: Saca el Vehiculo y Juega Idioma: Español
EXCAVADORA.(ENCIENDE EL MOTOR),Varios Autores,,Editorial: SUSAETA Año de edición: 2011 Materia: Narrativa de 3 a 6 años ISBN: 978-84-677-0692-5 Páginas: 12 Encuadernación: Rústica Colección: Enciende el Motor Idioma: Español
EVER AFTER HIGH. EL DIARIO DE TU DESTINO,Varios Autores,,Editorial: ALTEA Año de edición: 2014 Materia: Juegos y actividades de 8 a 10 años ISBN: 978-84-372-0083-5 Páginas: 176 Idioma: Español
N/A,,,
N/A,,,
N/A,,,
ESTUCHE EL LEGADO,Christopher Paolini,,Editorial: ROCA EDITORIAL Año de edición: 2011 Materia: Narrativa de 12 a 14 años ISBN: 978-84-9918-365-7 Páginas: 1250 Encuadernación: Rústica Colección: Roca Juvenil Idioma: Español
N/A,,,
EXP. 100 COSAS QUE DEBERÍAS SABER,,,Editorial: SUSAETA Año de edición: 2010 Materia: Divulgación de 6 a 8 años ISBN: 978-84-305-6611-2 Páginas: 48 Encuadernación: Rústica Idioma: Español
EXPEDICIÓN MALASPINA,Varios Autores,,Editorial: LOS LIBROS DE LA CATARATA Año de edición: 2011 Materia: Divulgación de 10 a 12 años ISBN: 978-84-8319-633-5 Páginas: 55 Encuadernación: Cartoné Colección: Fuera de Coleccion Idioma: Español
EXCURSIÓN EN AUTOCAR,Varios Autores,,Editorial: BEASCOA Año de edición: 2012 Materia: Para leer a los niños ISBN: 978-84-488-3299-5 Páginas: 20 Encuadernación: Cartoné Colección: Fisher Price:little People Idioma: Español
EXCAVADORAS 3D,Varios Autores,,Editorial: SUSAETA Año de edición: 2012 Materia: Divulgación de 6 a 8 años ISBN: 978-84-677-1854-6 Páginas: 16 Encuadernación: Rústica Idioma: Español
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"ÉUFRATES, EL GATO AMARILLO LIMÓN",Alba B. Regalado,,Editorial: BRUÑO Año de edición: 2007 Materia: Narrativa de 3 a 6 años ISBN: 978-84-216-9734-4 Páginas: 30 Encuadernación: Cartoné Colección: Chiquicuentos Idioma: Español Temas: Humor Valores: Afán de superación
ETERNOS,Kirsten Miller,,Editorial: ALFAGUARA Año de edición: 2011 Materia: Narrativa de 16 a 18 años ISBN: 978-84-204-0897-2 Páginas: 464 Encuadernación: Rústica Colección: Literatura Idioma: Español
N/A,,,
EUCLIDES EL GEÓMETRA,Laura Sánchez Fernández,,Editorial: EL ROMPECABEZAS Año de edición: 2009 Materia: Divulgación de 10 a 12 años ISBN: 978-84-96751-76-7 Páginas: 112 Encuadernación: Rústica Idioma: Español
"EUCLIDES, EL GEÓMETRA",Laura Sánchez Fernández,,Editorial: EL ROMPECABEZAS Año de edición: 2012 Materia: Divulgación de 10 a 12 años ISBN: 978-84-15016-28-1 Páginas: 112 Colección: Sabelotod@s Idioma: Español
EVA PRINCESAS. LA BELLA Y LA BESTIA,Fenix Factory,,Editorial: EDICIONES SALDAÑA Año de edición: 2012 Materia: Narrativa de 3 a 6 años ISBN: 978-84-9939-247-9 Páginas: 8 Encuadernación: Cartoné Idioma: Español
N/A,,,
EXPLORA,Varios Autores,,Editorial: SAN PABLO Año de edición: 2009 Materia: Divulgación de 10 a 12 años ISBN: 978-84-285-3373-7 Páginas: 320 Encuadernación: Cartoné Idioma: Español
EXPERIMENTOS CON PLANTAS. MI MUNDO,,,Editorial: SM Año de edición: 2008 Materia: De 6 a 8 años ISBN: 978-84-675-2305-8 Páginas: 30 Encuadernación: Cartoné Colección: MI Mundo Idioma: Español
N/A,,,
EXPERIMENTOS PARA CADA DÍA DE LA PRIMAVERA,,,Editorial: ONIRO Año de edición: 2006 Materia: Divulgación de 10 a 12 años ISBN: 978-84-9754-202-9 Páginas: 75 Encuadernación: Rústica Idioma: Español
EXPERIMENTOS DIVERTIDOS PROFESOR PIOLIN,Varios Autores,,Editorial: LIBSA Año de edición: 2013 Materia: Divulgación de 6 a 8 años ISBN: 978-84-662-2754-4 Páginas: 48 Colección: Libsa Idioma: Español
N/A,,,
N/A,,,
N/A,,,
N/A,,,
EXO,Jordi Olloquequi,,Editorial: LA GALERA Año de edición: 2014 Materia: Narrativa de 16 a 18 años ISBN: 978-84-246-4997-5 Páginas: 240 Encuadernación: Rústica Colección: Luna Roja Idioma: Español
N/A,,,
EXCAVACIONES. FOSILES T-REX,"[""André Costa"", ""Inés Vieira""]",,Editorial: SCIENCE4YOU Año de edición: 2013 Materia: Juegos y actividades de 8 a 10 años ISBN: 978-84-15811-38-1 Páginas: 36 Encuadernación: Pack Idioma: Español
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
EXPLORA LOS DINOSAURIOS,Michael Benton,,Editorial: SM Año de edición: 2010 Materia: Divulgación de 8 a 10 años ISBN: 978-84-675-3797-0 Páginas: 160 Encuadernación: Cartoné Colección: Enciclopedias Varias Idioma: Español
EXPEDIENTE PANIA,Miguel Sandín,,Editorial: EDEBÉ Año de edición: 2009 Materia: Narrativa de 14 a 16 años ISBN: 978-84-236-9354-2 Páginas: 207 Encuadernación: Rústica Colección: Periscopio Idioma: Español Temas: Realismo
EXPERIMENTO MYTHOS,Victoria Rodríguez,,Editorial: EDEBÉ Año de edición: 2010 Materia: Narrativa de 12 a 14 años ISBN: 978-84-236-9596-6 Páginas: 377 Encuadernación: Rústica Colección: Tucán 12+ Idioma: Español
EXPERIMENTOS,John Clark,,Editorial: SUSAETA Año de edición: 2014 Materia: Juegos y actividades de 8 a 10 años ISBN: 978-84-677-3739-4 Páginas: 48 Idioma: Español
EXPLORA CON CAILLOU,Christine L'heureux,,"Editorial: EVEREST Año de edición: 2014 Materia: Aprendizaje temprano, juegos y actividades ISBN: 978-84-441-3442-0 Páginas: 160 Encuadernación: Cartoné Idioma: Español"
EXPEDICIONES POLARES,Gérard Jugie,,Editorial: ONIRO Año de edición: 2011 Materia: Divulgación de 8 a 10 años ISBN: 978-84-9754-511-2 Páginas: 64 Idioma: Español
EXPERIMENTOS MÁGICOS,"[""Paula Navarro Padilla"", ""Angeles Jimenez Albiac""]",,Editorial: SAN PABLO Año de edición: 2014 Materia: Juegos y actividades de 8 a 10 años ISBN: 978-84-285-4503-7 Páginas: 144 Encuadernación: Cartoné Idioma: Español
EXPERIMENTOS 1,Alexandre Wajnberg,,Editorial: SUSAETA Año de edición: 2015 Materia: Divulgación de 8 a 10 años ISBN: 978-84-677-3563-5 Páginas: 40 Encuadernación: Cartoné Idioma: Español
EXPERIMENTOS 2,Alexandre Wajnberg,,Editorial: SUSAETA Año de edición: 2015 Materia: Divulgación de 8 a 10 años ISBN: 978-84-677-3564-2 Páginas: 40 Encuadernación: Cartoné Idioma: Español
EXPEDICIÓN MICROSCOPIO,Gerald Bosch,,Editorial: SIRUELA Año de edición: 2008 Materia: Divulgación de 12 a 14 años ISBN: 978-84-9841-212-3 Páginas: 188 Encuadernación: Cartoné Colección: Las Tres Edades Idioma: Español
EXPERIMENTOS PARA CADA DÍA DEL OTOÑO,Anita Van Saan,,Editorial: ONIRO Año de edición: 2006 Materia: Narrativa de 10 a 12 años ISBN: 978-84-9754-221-0 Páginas: 89 Encuadernación: Rústica Colección: El Juego de la Ciencia Idioma: Español
EXPEDIENTE J. MOMENTO CERO,M.G. Harris,,Editorial: SM Año de edición: 2012 Materia: Narrativa de 10 a 12 años ISBN: 978-84-675-5629-2 Páginas: 384 Encuadernación: Rústica Colección: Expediente J Idioma: Español
EXPERIMENTOS PARA TODAS LAS EDADES,"[""Ricardo Moreno"", ""Luis Cano""]",,Editorial: RIALP Año de edición: 2008 Materia: Divulgación de 10 a 12 años ISBN: 978-84-321-3698-6 Páginas: 176 Encuadernación: Cartoné Idioma: Español
EXTRAÑO Y SALVAJE. DINOSAURIOS,Varios Autores,,Editorial: ESTUDIO DIDÁCTICO Año de edición: 2010 Materia: Divulgación de 6 a 8 años ISBN: 978-84-9786-440-4 Páginas: 8 Encuadernación: Cartoné Idioma: Español
EXTRAÑO Y SALVAJE. ANIMALES,Varios Autores,,Editorial: ESTUDIO DIDÁCTICO Año de edición: 2010 Materia: De 3 a 6 años ISBN: 978-84-9786-439-8 Páginas: 8 Encuadernación: Cartoné Idioma: Español
FÁBULAS DE ESOPO,,,Editorial: BLUME Año de edición: 2011 Materia: Narrativa de 6 a 8 años ISBN: 978-84-9801-577-5 Páginas: 14 Encuadernación: Cartoné Idioma: Español
FABULAS DE ESOPO,Varios Autores,,Editorial: LOS LIBROS MAS PEQUEÑOS DEL MUNDO Año de edición: 2009 Materia: Narrativa de 6 a 8 años ISBN: 978-612-4013-35-5 Páginas: 434 Encuadernación: Bolsillo Colección: Minibooks Idioma: Español
FÁBULAS CON ANIMALES,,,Editorial: TODO LIBRO EDICIONES S.A. Año de edición: 2008 Materia: De 3 a 6 años ISBN: 978-84-9806-726-2 Páginas: 240 Encuadernación: Cartoné Idioma: Español
N/A,,,
N/A,,,
N/A,,,
EXTRATERRESTRES,Varios Autores,,Editorial: USBORNE Año de edición: 2013 Materia: Juegos y actividades de 3 a 6 años ISBN: 978-1-4095-7350-0 Páginas: 21 Idioma: Español
FÁBULAS DE SIEMPRE,Varios Autores,,Editorial: EVEREST Año de edición: 2014 Materia: Narrativa de 6 a 8 años ISBN: 978-84-441-4805-2 Páginas: 64 Encuadernación: Cartoné Colección: Rascacielos Idioma: Español
FABULAS PARA SOÑAR,Varios Autores,,Editorial: COLUMNA Año de edición: 2010 Materia: Narrativa de 3 a 6 años ISBN: 978-84-9913-144-3 Páginas: 320 Idioma: Español
FÁBULAS PARA SOÑAR,,,Editorial: C.C. ASTURIAS S.L. Año de edición: 2009 Materia: Literatura infantil ISBN: 978-84-937226-9-2 Encuadernación: Cartoné Colección: Cuentos Para Dormir Idioma: Español
FÁBULAS DE ESOPO (ROJO),Varios Autores,,Editorial: COMICS Y CUENTOS ASTURIAS Año de edición: 2014 Materia: Narrativa de 3 a 6 años ISBN: 978-84-16010-35-6 Páginas: 12 Idioma: Español
FÁBULAS DE ESOPO (AZUL),Varios Autores,,Editorial: COMICS Y CUENTOS ASTURIAS Año de edición: 2014 Materia: Narrativa de 3 a 6 años ISBN: 978-84-16010-37-0 Páginas: 12 Idioma: Español
